x t
0 0
0.00909091 0.10101
0.0181818 0.20202
0.0269668 0.30303
0.0354315 0.40404
0.0435025 0.505051
0.0511107 0.606061
0.0581916 0.707071
0.0646858 0.808081
0.0705397 0.909091
0.075706 1.0101
0.0801437 1.11111
0.083819 1.21212
0.0867053 1.31313
0.0887834 1.41414
0.0900415 1.51515
0.0904758 1.61616
0.0900897 1.71717
0.0888944 1.81818
0.0869083 1.91919
0.0841567 2.0202
0.080672 2.12121
0.0764924 2.22222
0.0716625 2.32323
0.0662319 2.42424
0.0602554 2.52525
0.053792 2.62626
0.0469043 2.72727
0.0396581 2.82828
0.0321217 2.92929
0.0243654 3.0303
0.0164607 3.13131
0.00847957 3.23232
0.000494161 3.33333
-0.00742405 3.43434
-0.0152048 3.53535
-0.0227796 3.63636
-0.0300824 3.73737
-0.0370501 3.83838
-0.043623 3.93939
-0.0497455 4.0404
-0.0553664 4.14141
-0.0604395 4.24242
-0.0649237 4.34343
-0.0687837 4.44444
-0.0719901 4.54545
-0.0745197 4.64646
-0.0763557 4.74747
-0.0774876 4.84848
-0.0779115 4.94949
-0.0776301 5.05051
-0.0766523 5.15152
-0.0749935 5.25253
-0.0726748 5.35354
-0.0697235 5.45455
-0.0661721 5.55556
-0.0620581 5.65657
-0.057424 5.75758
-0.0523163 5.85859
-0.0467853 5.9596
-0.0408847 6.06061
-0.0346708 6.16162
-0.0282022 6.26263
-0.0215391 6.36364
-0.0147431 6.46465
-0.00787612 6.56566
-0.00100025 6.66667
0.00582291 6.76768
0.0125327 6.86869
0.0190702 6.9697
0.0253782 7.07071
0.0314023 7.17172
0.0370909 7.27273
0.0423959 7.37374
0.047273 7.47475
0.051682 7.57576
0.0555874 7.67677
0.0589585 7.77778
0.0617695 7.87879
0.0640002 7.9798
0.0656355 8.08081
0.066666 8.18182
0.0670878 8.28283
0.0669028 8.38384
0.066118 8.48485
0.0647461 8.58586
0.0628048 8.68687
0.0603168 8.78788
0.0573096 8.88889
0.0538151 8.9899
0.0498693 9.09091
0.0455117 9.19192
0.0407853 9.29293
0.0357359 9.39394
0.0304118 9.49495
0.0248631 9.59596
0.0191417 9.69697
0.0133003 9.79798
0.00739224 9.89899
0.00147105 10
