v t
0.09 0
0.09 0.10101
0.09 0.20202
0.0891871 0.30303
0.0875609 0.40404
0.085128 0.505051
0.081902 0.606061
0.0779035 0.707071
0.0731602 0.808081
0.0677067 0.909091
0.0615844 1.0101
0.0548414 1.11111
0.0475324 1.21212
0.0397178 1.31313
0.0314639 1.41414
0.0228422 1.51515
0.0139284 1.61616
0.00480234 1.71717
-0.00445337 1.81818
-0.0137538 1.91919
-0.0230127 2.0202
-0.0321437 2.12121
-0.0410607 2.22222
-0.0496795 2.32323
-0.0579179 2.42424
-0.0656972 2.52525
-0.0729428 2.62626
-0.0795848 2.72727
-0.0855584 2.82828
-0.0908052 2.92929
-0.0952725 3.0303
-0.0989149 3.13131
-0.101694 3.23232
-0.103577 3.33333
-0.104541 3.43434
-0.10457 3.53535
-0.103655 3.63636
-0.101794 3.73737
-0.0989958 3.83838
-0.0952744 3.93939
-0.0906532 4.0404
-0.0851635 4.14141
-0.0788448 4.24242
-0.0717444 4.34343
-0.0639176 4.44444
-0.0554273 4.54545
-0.0463437 4.64646
-0.0367438 4.74747
-0.0267109 4.84848
-0.0163338 4.94949
-0.00570597 5.05051
0.00507545 5.15152
0.0159105 5.25253
0.0266979 5.35354
0.0373356 5.45455
0.0477228 5.55556
0.0577601 5.65657
0.0673515 5.75758
0.076405 5.85859
0.0848335 5.9596
0.0925558 6.06061
0.0994969 6.16162
0.105589 6.26263
0.110773 6.36364
0.114995 6.46465
0.118212 6.56566
0.120387 6.66667
0.121494 6.76768
0.121513 6.86869
0.120435 6.9697
0.118258 7.07071
0.11499 7.17172
0.110649 7.27273
0.105261 7.37374
0.0988603 7.47475
0.0914929 7.57576
0.0832129 7.67677
0.074084 7.77778
0.0641792 7.87879
0.0535801 7.9798
0.0423768 8.08081
0.0306669 8.18182
0.018555 8.28283
0.00615136 8.38384
-0.00642918 8.48485
-0.0190684 8.58586
-0.0316463 8.68687
-0.0440424 8.78788
-0.0561375 8.88889
-0.0678148 8.9899
-0.0789616 9.09091
-0.0894703 9.19192
-0.0992395 9.29293
-0.108175 9.39394
-0.116192 9.49495
-0.123211 9.59596
-0.129165 9.69697
-0.133995 9.79798
-0.13765 9.89899
-0.140091 10
-0.141287 10.101
